Title,Slug,Difficulty,Tags,Paid Only
Minimum Space Wasted From Packaging,minimum-space-wasted-from-packaging,Hard,"Array, Binary Search, Sorting, Prefix Sum",FALSE
Cutting Ribbons,cutting-ribbons,Medium,"Array, Binary Search",TRUE
Check if All the Integers in a Range Are Covered,check-if-all-the-integers-in-a-range-are-covered,Easy,"Array, Hash Table, Prefix Sum",FALSE
Find the Student that Will Replace the Chalk,find-the-student-that-will-replace-the-chalk,Medium,"Array, Binary Search, Simulation, Prefix Sum",FALSE
Largest Magic Square,largest-magic-square,Medium,"Array, Matrix, Prefix Sum",FALSE
Minimum Cost to Change the Final Value of Expression,minimum-cost-to-change-the-final-value-of-expression,Hard,"Math, String, Dynamic Programming, Stack",FALSE
Redistribute Characters to Make All Strings Equal,redistribute-characters-to-make-all-strings-equal,Easy,"Hash Table, String, Counting",FALSE
Maximum Number of Removable Characters,maximum-number-of-removable-characters,Medium,"Array, Two Pointers, String, Binary Search",FALSE
Merge Triplets to Form Target Triplet,merge-triplets-to-form-target-triplet,Medium,"Array, Greedy",FALSE
The Earliest and Latest Rounds Where Players Compete,the-earliest-and-latest-rounds-where-players-compete,Hard,"Dynamic Programming, Memoization",FALSE
Find a Peak Element II,find-a-peak-element-ii,Medium,"Array, Binary Search, Matrix",FALSE
Depth of BST Given Insertion Order,depth-of-bst-given-insertion-order,Medium,"Array, Tree, Binary Search Tree, Binary Tree, Ordered Set",TRUE
Largest Odd Number in String,largest-odd-number-in-string,Easy,"Math, String, Greedy",FALSE
The Number of Full Rounds You Have Played,the-number-of-full-rounds-you-have-played,Medium,"Math, String",FALSE
Count Sub Islands,count-sub-islands,Medium,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",FALSE
Minimum Absolute Difference Queries,minimum-absolute-difference-queries,Medium,"Array, Hash Table",FALSE
Game of Nim,game-of-nim,Medium,"Array, Math, Dynamic Programming, Bit Manipulation, Brainteaser, Game Theory",TRUE
Remove One Element to Make the Array Strictly Increasing,remove-one-element-to-make-the-array-strictly-increasing,Easy,Array,FALSE
Remove All Occurrences of a Substring,remove-all-occurrences-of-a-substring,Medium,"String, Stack, Simulation",FALSE
Maximum Alternating Subsequence Sum,maximum-alternating-subsequence-sum,Medium,"Array, Dynamic Programming",FALSE
Design Movie Rental System,design-movie-rental-system,Hard,"Array, Hash Table, Design, Heap (Priority Queue), Ordered Set",FALSE
Maximum Product Difference Between Two Pairs,maximum-product-difference-between-two-pairs,Easy,"Array, Sorting",FALSE
Cyclically Rotating a Grid,cyclically-rotating-a-grid,Medium,"Array, Matrix, Simulation",FALSE
Number of Wonderful Substrings,number-of-wonderful-substrings,Medium,"Hash Table, String, Bit Manipulation, Prefix Sum",FALSE
Count Ways to Build Rooms in an Ant Colony,count-ways-to-build-rooms-in-an-ant-colony,Hard,"Math, Dynamic Programming, Tree, Graph, Topological Sort, Combinatorics",FALSE
Kth Smallest Subarray Sum,kth-smallest-subarray-sum,Medium,"Array, Binary Search, Sliding Window",TRUE
Build Array from Permutation,build-array-from-permutation,Easy,"Array, Simulation",FALSE
Eliminate Maximum Number of Monsters,eliminate-maximum-number-of-monsters,Medium,"Array, Greedy, Sorting",FALSE
Count Good Numbers,count-good-numbers,Medium,"Math, Recursion",FALSE
Longest Common Subpath,longest-common-subpath,Hard,"Array, Binary Search, Rolling Hash, Suffix Array, Hash Function",FALSE
Erect the Fence II,erect-the-fence-ii,Hard,"Array, Math, Geometry",TRUE
Count Square Sum Triples,count-square-sum-triples,Easy,"Math, Enumeration",FALSE
Nearest Exit from Entrance in Maze,nearest-exit-from-entrance-in-maze,Medium,"Array, Breadth-First Search, Matrix",FALSE
Sum Game,sum-game,Medium,"Math, String, Greedy, Game Theory",FALSE
Minimum Cost to Reach Destination in Time,minimum-cost-to-reach-destination-in-time,Hard,"Array, Dynamic Programming, Graph",FALSE
Concatenation of Array,concatenation-of-array,Easy,"Array, Simulation",FALSE
Unique Length-3 Palindromic Subsequences,unique-length-3-palindromic-subsequences,Medium,"Hash Table, String, Bit Manipulation, Prefix Sum",FALSE
Painting a Grid With Three Different Colors,painting-a-grid-with-three-different-colors,Hard,Dynamic Programming,FALSE
Merge BSTs to Create Single BST,merge-bsts-to-create-single-bst,Hard,"Hash Table, Binary Search, Tree, Depth-First Search, Binary Tree",FALSE
Check if String Is Decomposable Into Value-Equal Substrings,check-if-string-is-decomposable-into-value-equal-substrings,Easy,String,TRUE
Maximum Number of Words You Can Type,maximum-number-of-words-you-can-type,Easy,"Hash Table, String",FALSE
Add Minimum Number of Rungs,add-minimum-number-of-rungs,Medium,"Array, Greedy",FALSE
Maximum Number of Points with Cost,maximum-number-of-points-with-cost,Medium,"Array, Dynamic Programming, Matrix",FALSE
Maximum Genetic Difference Query,maximum-genetic-difference-query,Hard,"Array, Hash Table, Bit Manipulation, Depth-First Search, Trie",FALSE
Longest Common Subsequence Between Sorted Arrays,longest-common-subsequence-between-sorted-arrays,Medium,"Array, Hash Table, Counting",TRUE
Check if All Characters Have Equal Number of Occurrences,check-if-all-characters-have-equal-number-of-occurrences,Easy,"Hash Table, String, Counting",FALSE
The Number of the Smallest Unoccupied Chair,the-number-of-the-smallest-unoccupied-chair,Medium,"Array, Hash Table, Heap (Priority Queue)",FALSE
Describe the Painting,describe-the-painting,Medium,"Array, Hash Table, Sorting, Prefix Sum",FALSE
Number of Visible People in a Queue,number-of-visible-people-in-a-queue,Hard,"Array, Stack, Monotonic Stack",FALSE
Sum of Digits of String After Convert,sum-of-digits-of-string-after-convert,Easy,"String, Simulation",FALSE
Largest Number After Mutating Substring,largest-number-after-mutating-substring,Medium,"Array, String, Greedy",FALSE
Maximum Compatibility Score Sum,maximum-compatibility-score-sum,Medium,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask",FALSE
Delete Duplicate Folders in System,delete-duplicate-folders-in-system,Hard,"Array, Hash Table, String, Trie, Hash Function",FALSE
Maximum of Minimum Values in All Subarrays,maximum-of-minimum-values-in-all-subarrays,Medium,"Array, Stack, Monotonic Stack",TRUE
Three Divisors,three-divisors,Easy,"Math, Enumeration, Number Theory",FALSE
Maximum Number of Weeks for Which You Can Work,maximum-number-of-weeks-for-which-you-can-work,Medium,"Array, Greedy",FALSE
Minimum Garden Perimeter to Collect Enough Apples,minimum-garden-perimeter-to-collect-enough-apples,Medium,"Math, Binary Search",FALSE
Count Number of Special Subsequences,count-number-of-special-subsequences,Hard,"Array, Dynamic Programming",FALSE
Minimum Time For K Virus Variants to Spread,minimum-time-for-k-virus-variants-to-spread,Hard,"Array, Math, Binary Search, Geometry, Enumeration",TRUE
Delete Characters to Make Fancy String,delete-characters-to-make-fancy-string,Easy,String,FALSE
Check if Move is Legal,check-if-move-is-legal,Medium,"Array, Matrix, Enumeration",FALSE
Minimum Total Space Wasted With K Resizing Operations,minimum-total-space-wasted-with-k-resizing-operations,Medium,"Array, Dynamic Programming",FALSE
Maximum Product of the Length of Two Palindromic Substrings,maximum-product-of-the-length-of-two-palindromic-substrings,Hard,"String, Rolling Hash, Hash Function",FALSE
Check If String Is a Prefix of Array,check-if-string-is-a-prefix-of-array,Easy,"Array, Two Pointers, String",FALSE
Remove Stones to Minimize the Total,remove-stones-to-minimize-the-total,Medium,"Array, Greedy, Heap (Priority Queue)",FALSE
Minimum Number of Swaps to Make the String Balanced,minimum-number-of-swaps-to-make-the-string-balanced,Medium,"Two Pointers, String, Stack, Greedy",FALSE
Find the Longest Valid Obstacle Course at Each Position,find-the-longest-valid-obstacle-course-at-each-position,Hard,"Array, Binary Search, Binary Indexed Tree",FALSE
Binary Searchable Numbers in an Unsorted Array,binary-searchable-numbers-in-an-unsorted-array,Medium,"Array, Binary Search",TRUE
Number of Strings That Appear as Substrings in Word,number-of-strings-that-appear-as-substrings-in-word,Easy,"Array, String",FALSE
Array With Elements Not Equal to Average of Neighbors,array-with-elements-not-equal-to-average-of-neighbors,Medium,"Array, Greedy, Sorting",FALSE
Minimum Non-Zero Product of the Array Elements,minimum-non-zero-product-of-the-array-elements,Medium,"Math, Greedy, Recursion",FALSE
Last Day Where You Can Still Cross,last-day-where-you-can-still-cross,Hard,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union Find, Matrix",FALSE
Find if Path Exists in Graph,find-if-path-exists-in-graph,Easy,"Depth-First Search, Breadth-First Search, Union Find, Graph",FALSE
Count Nodes Equal to Sum of Descendants,count-nodes-equal-to-sum-of-descendants,Medium,"Tree, Depth-First Search, Binary Tree",TRUE
Minimum Time to Type Word Using Special Typewriter,minimum-time-to-type-word-using-special-typewriter,Easy,"String, Greedy",FALSE
Maximum Matrix Sum,maximum-matrix-sum,Medium,"Array, Greedy, Matrix",FALSE
Number of Ways to Arrive at Destination,number-of-ways-to-arrive-at-destination,Medium,"Dynamic Programming, Graph, Topological Sort, Shortest Path",FALSE
Number of Ways to Separate Numbers,number-of-ways-to-separate-numbers,Hard,"String, Dynamic Programming, Suffix Array",FALSE
Find Greatest Common Divisor of Array,find-greatest-common-divisor-of-array,Easy,"Array, Math, Number Theory",FALSE
Find Unique Binary String,find-unique-binary-string,Medium,"Array, Hash Table, String, Backtracking",FALSE
Minimize the Difference Between Target and Chosen Elements,minimize-the-difference-between-target-and-chosen-elements,Medium,"Array, Dynamic Programming, Matrix",FALSE
Find Array Given Subset Sums,find-array-given-subset-sums,Hard,"Array, Divide and Conquer",FALSE
Widest Pair of Indices With Equal Range Sum,widest-pair-of-indices-with-equal-range-sum,Medium,"Array, Hash Table, Prefix Sum",TRUE
Minimum Difference Between Highest and Lowest of K Scores,minimum-difference-between-highest-and-lowest-of-k-scores,Easy,"Array, Sliding Window, Sorting",FALSE
Find the Kth Largest Integer in the Array,find-the-kth-largest-integer-in-the-array,Medium,"Array, String, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",FALSE
Minimum Number of Work Sessions to Finish the Tasks,minimum-number-of-work-sessions-to-finish-the-tasks,Medium,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask",FALSE
Number of Unique Good Subsequences,number-of-unique-good-subsequences,Hard,"String, Dynamic Programming",FALSE
Maximum Number of People That Can Be Caught in Tag,maximum-number-of-people-that-can-be-caught-in-tag,Medium,"Array, Greedy",TRUE
Find the Middle Index in Array,find-the-middle-index-in-array,Easy,"Array, Prefix Sum",FALSE
Find All Groups of Farmland,find-all-groups-of-farmland,Medium,"Array, Depth-First Search, Breadth-First Search, Matrix",FALSE
Operations on Tree,operations-on-tree,Medium,"Array, Hash Table, Tree, Depth-First Search, Breadth-First Search, Design",FALSE
The Number of Good Subsets,the-number-of-good-subsets,Hard,"Array, Math, Dynamic Programming, Bit Manipulation, Bitmask",FALSE
Count Special Quadruplets,count-special-quadruplets,Easy,"Array, Hash Table, Enumeration",FALSE
The Number of Weak Characters in the Game,the-number-of-weak-characters-in-the-game,Medium,"Array, Stack, Greedy, Sorting, Monotonic Stack",FALSE
First Day Where You Have Been in All the Rooms,first-day-where-you-have-been-in-all-the-rooms,Medium,"Array, Dynamic Programming",FALSE
GCD Sort of an Array,gcd-sort-of-an-array,Hard,"Array, Math, Union Find, Sorting, Number Theory",FALSE
Smallest Greater Multiple Made of Two Digits,smallest-greater-multiple-made-of-two-digits,Medium,"Math, Enumeration",TRUE
Reverse Prefix of Word,reverse-prefix-of-word,Easy,"Two Pointers, String, Stack",FALSE
Number of Pairs of Interchangeable Rectangles,number-of-pairs-of-interchangeable-rectangles,Medium,"Array, Hash Table, Math, Counting, Number Theory",FALSE
Maximum Product of the Length of Two Palindromic Subsequences,maximum-product-of-the-length-of-two-palindromic-subsequences,Medium,"String, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask",FALSE
Smallest Missing Genetic Value in Each Subtree,smallest-missing-genetic-value-in-each-subtree,Hard,"Dynamic Programming, Tree, Depth-First Search, Union Find",FALSE
Subtree Removal Game with Fibonacci Tree,subtree-removal-game-with-fibonacci-tree,Hard,"Math, Dynamic Programming, Tree, Binary Tree, Game Theory",TRUE
Count Number of Pairs With Absolute Difference K,count-number-of-pairs-with-absolute-difference-k,Easy,"Array, Hash Table, Counting",FALSE
Find Original Array From Doubled Array,find-original-array-from-doubled-array,Medium,"Array, Hash Table, Greedy, Sorting",FALSE
Maximum Earnings From Taxi,maximum-earnings-from-taxi,Medium,"Array, Hash Table, Binary Search, Dynamic Programming, Sorting",FALSE
Minimum Number of Operations to Make Array Continuous,minimum-number-of-operations-to-make-array-continuous,Hard,"Array, Hash Table, Binary Search, Sliding Window",FALSE
Final Value of Variable After Performing Operations,final-value-of-variable-after-performing-operations,Easy,"Array, String, Simulation",FALSE
Sum of Beauty in the Array,sum-of-beauty-in-the-array,Medium,Array,FALSE
Detect Squares,detect-squares,Medium,"Array, Hash Table, Design, Counting",FALSE
Longest Subsequence Repeated k Times,longest-subsequence-repeated-k-times,Hard,"String, Backtracking, Greedy, Counting, Enumeration",FALSE
Average Height of Buildings in Each Segment,average-height-of-buildings-in-each-segment,Medium,"Array, Greedy, Sorting, Heap (Priority Queue)",TRUE
Maximum Difference Between Increasing Elements,maximum-difference-between-increasing-elements,Easy,Array,FALSE
Grid Game,grid-game,Medium,"Array, Matrix, Prefix Sum",FALSE
Check if Word Can Be Placed In Crossword,check-if-word-can-be-placed-in-crossword,Medium,"Array, Matrix, Enumeration",FALSE
The Score of Students Solving Math Expression,the-score-of-students-solving-math-expression,Hard,"Array, Math, String, Dynamic Programming, Stack, Memoization",FALSE
Brightest Position on Street,brightest-position-on-street,Medium,"Array, Sorting, Prefix Sum, Ordered Set",TRUE
Convert 1D Array Into 2D Array,convert-1d-array-into-2d-array,Easy,"Array, Matrix, Simulation",FALSE
Number of Pairs of Strings With Concatenation Equal to Target,number-of-pairs-of-strings-with-concatenation-equal-to-target,Medium,"Array, Hash Table, String, Counting",FALSE
Maximize the Confusion of an Exam,maximize-the-confusion-of-an-exam,Medium,"String, Binary Search, Sliding Window, Prefix Sum",FALSE
Maximum Number of Ways to Partition an Array,maximum-number-of-ways-to-partition-an-array,Hard,"Array, Hash Table, Counting, Enumeration, Prefix Sum",FALSE
Minimum Moves to Convert String,minimum-moves-to-convert-string,Easy,"String, Greedy",FALSE
Find Missing Observations,find-missing-observations,Medium,"Array, Math, Simulation",FALSE
Stone Game IX,stone-game-ix,Medium,"Array, Math, Greedy, Counting, Game Theory",FALSE
Smallest K-Length Subsequence With Occurrences of a Letter,smallest-k-length-subsequence-with-occurrences-of-a-letter,Hard,"String, Stack, Greedy, Monotonic Stack",FALSE
Count Subarrays With More Ones Than Zeros,count-subarrays-with-more-ones-than-zeros,Medium,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set",TRUE
Two Out of Three,two-out-of-three,Easy,"Array, Hash Table, Bit Manipulation",FALSE
Minimum Operations to Make a Uni-Value Grid,minimum-operations-to-make-a-uni-value-grid,Medium,"Array, Math, Sorting, Matrix",FALSE
Stock Price Fluctuation ,stock-price-fluctuation,Medium,"Hash Table, Design, Heap (Priority Queue), Data Stream, Ordered Set",FALSE
Partition Array Into Two Arrays to Minimize Sum Difference,partition-array-into-two-arrays-to-minimize-sum-difference,Hard,"Array, Two Pointers, Binary Search, Dynamic Programming, Bit Manipulation, Ordered Set, Bitmask",FALSE
Maximum Alternating Subarray Sum,maximum-alternating-subarray-sum,Medium,"Array, Dynamic Programming",TRUE
Minimum Number of Moves to Seat Everyone,minimum-number-of-moves-to-seat-everyone,Easy,"Array, Greedy, Sorting, Counting Sort",FALSE
Remove Colored Pieces if Both Neighbors are the Same Color,remove-colored-pieces-if-both-neighbors-are-the-same-color,Medium,"Math, String, Greedy, Game Theory",FALSE
The Time When the Network Becomes Idle,the-time-when-the-network-becomes-idle,Medium,"Array, Breadth-First Search, Graph",FALSE
Kth Smallest Product of Two Sorted Arrays,kth-smallest-product-of-two-sorted-arrays,Hard,"Array, Binary Search",FALSE
Check if Numbers Are Ascending in a Sentence,check-if-numbers-are-ascending-in-a-sentence,Easy,String,FALSE
Simple Bank System,simple-bank-system,Medium,"Array, Hash Table, Design, Simulation",FALSE
Count Number of Maximum Bitwise-OR Subsets,count-number-of-maximum-bitwise-or-subsets,Medium,"Array, Backtracking, Bit Manipulation, Enumeration",FALSE
Second Minimum Time to Reach Destination,second-minimum-time-to-reach-destination,Hard,"Breadth-First Search, Graph, Shortest Path",FALSE
Sort Linked List Already Sorted Using Absolute Values,sort-linked-list-already-sorted-using-absolute-values,Medium,"Linked List, Two Pointers, Sorting",TRUE
Number of Valid Words in a Sentence,number-of-valid-words-in-a-sentence,Easy,String,FALSE
Next Greater Numerically Balanced Number,next-greater-numerically-balanced-number,Medium,"Hash Table, Math, Backtracking, Counting, Enumeration",FALSE
Count Nodes With the Highest Score,count-nodes-with-the-highest-score,Medium,"Array, Tree, Depth-First Search, Binary Tree",FALSE
Parallel Courses III,parallel-courses-iii,Hard,"Array, Dynamic Programming, Graph, Topological Sort",FALSE
Minimum Cost to Separate Sentence Into Rows,minimum-cost-to-separate-sentence-into-rows,Medium,"Array, Dynamic Programming",TRUE
Kth Distinct String in an Array,kth-distinct-string-in-an-array,Easy,"Array, Hash Table, String, Counting",FALSE
Two Best Non-Overlapping Events,two-best-non-overlapping-events,Medium,"Array, Binary Search, Dynamic Programming, Sorting, Heap (Priority Queue)",FALSE
Plates Between Candles,plates-between-candles,Medium,"Array, String, Binary Search, Prefix Sum",FALSE
Number of Valid Move Combinations On Chessboard,number-of-valid-move-combinations-on-chessboard,Hard,"Array, String, Backtracking, Simulation",FALSE
Smallest Index With Equal Value,smallest-index-with-equal-value,Easy,Array,FALSE
Find the Minimum and Maximum Number of Nodes Between Critical Points,find-the-minimum-and-maximum-number-of-nodes-between-critical-points,Medium,Linked List,FALSE
Minimum Operations to Convert Number,minimum-operations-to-convert-number,Medium,"Array, Breadth-First Search",FALSE
Check if an Original String Exists Given Two Encoded Strings,check-if-an-original-string-exists-given-two-encoded-strings,Hard,"String, Dynamic Programming",FALSE
Number of Spaces Cleaning Robot Cleaned,number-of-spaces-cleaning-robot-cleaned,Medium,"Array, Matrix, Simulation",TRUE
Count Vowel Substrings of a String,count-vowel-substrings-of-a-string,Easy,"Hash Table, String",FALSE
Vowels of All Substrings,vowels-of-all-substrings,Medium,"Math, String, Dynamic Programming, Combinatorics",FALSE
Minimized Maximum of Products Distributed to Any Store,minimized-maximum-of-products-distributed-to-any-store,Medium,"Array, Binary Search, Greedy",FALSE
Maximum Path Quality of a Graph,maximum-path-quality-of-a-graph,Hard,"Array, Backtracking, Graph",FALSE
Number of Equal Count Substrings,number-of-equal-count-substrings,Medium,"Hash Table, String, Sliding Window, Counting",TRUE
Check Whether Two Strings are Almost Equivalent,check-whether-two-strings-are-almost-equivalent,Easy,"Hash Table, String, Counting",FALSE
Most Beautiful Item for Each Query,most-beautiful-item-for-each-query,Medium,"Array, Binary Search, Sorting",FALSE
Maximum Number of Tasks You Can Assign,maximum-number-of-tasks-you-can-assign,Hard,"Array, Binary Search, Greedy, Queue, Sorting, Monotonic Queue",FALSE
Time Needed to Buy Tickets,time-needed-to-buy-tickets,Easy,"Array, Queue, Simulation",FALSE
Reverse Nodes in Even Length Groups,reverse-nodes-in-even-length-groups,Medium,Linked List,FALSE
Decode the Slanted Ciphertext,decode-the-slanted-ciphertext,Medium,"String, Simulation",FALSE
Process Restricted Friend Requests,process-restricted-friend-requests,Hard,"Union Find, Graph",FALSE
Paths in Maze That Lead to Same Room,paths-in-maze-that-lead-to-same-room,Medium,Graph,TRUE
Two Furthest Houses With Different Colors,two-furthest-houses-with-different-colors,Easy,"Array, Greedy",FALSE
Watering Plants,watering-plants,Medium,"Array, Simulation",FALSE
Range Frequency Queries,range-frequency-queries,Medium,"Array, Hash Table, Binary Search, Design, Segment Tree",FALSE
Sum of k-Mirror Numbers,sum-of-k-mirror-numbers,Hard,"Math, Enumeration",FALSE
Substrings That Begin and End With the Same Letter,substrings-that-begin-and-end-with-the-same-letter,Medium,"Hash Table, Math, String, Counting, Prefix Sum",TRUE
Count Common Words With One Occurrence,count-common-words-with-one-occurrence,Easy,"Array, Hash Table, String, Counting",FALSE
Minimum Number of Food Buckets to Feed the Hamsters,minimum-number-of-food-buckets-to-feed-the-hamsters,Medium,"String, Dynamic Programming, Greedy",FALSE
Minimum Cost Homecoming of a Robot in a Grid,minimum-cost-homecoming-of-a-robot-in-a-grid,Medium,"Array, Greedy",FALSE
Count Fertile Pyramids in a Land,count-fertile-pyramids-in-a-land,Hard,"Array, Dynamic Programming, Matrix",FALSE
Find Target Indices After Sorting Array,find-target-indices-after-sorting-array,Easy,"Array, Binary Search, Sorting",FALSE
K Radius Subarray Averages,k-radius-subarray-averages,Medium,"Array, Sliding Window",FALSE
Removing Minimum and Maximum From Array,removing-minimum-and-maximum-from-array,Medium,"Array, Greedy",FALSE
Find All People With Secret,find-all-people-with-secret,Hard,"Depth-First Search, Breadth-First Search, Union Find, Graph, Sorting",FALSE
Minimum Cost to Reach City With Discounts,minimum-cost-to-reach-city-with-discounts,Medium,"Graph, Heap (Priority Queue), Shortest Path",TRUE
Finding 3-Digit Even Numbers,finding-3-digit-even-numbers,Easy,"Array, Hash Table, Sorting, Enumeration",FALSE
Delete the Middle Node of a Linked List,delete-the-middle-node-of-a-linked-list,Medium,"Linked List, Two Pointers",FALSE
Step-By-Step Directions From a Binary Tree Node to Another,step-by-step-directions-from-a-binary-tree-node-to-another,Medium,"String, Tree, Depth-First Search, Binary Tree",FALSE
Valid Arrangement of Pairs,valid-arrangement-of-pairs,Hard,"Depth-First Search, Graph, Eulerian Circuit",FALSE
Subsequence of Size K With the Largest Even Sum,subsequence-of-size-k-with-the-largest-even-sum,Medium,"Array, Greedy, Sorting",TRUE
Find Subsequence of Length K With the Largest Sum,find-subsequence-of-length-k-with-the-largest-sum,Easy,"Array, Hash Table, Sorting, Heap (Priority Queue)",FALSE
Find Good Days to Rob the Bank,find-good-days-to-rob-the-bank,Medium,"Array, Dynamic Programming, Prefix Sum",FALSE
Detonate the Maximum Bombs,detonate-the-maximum-bombs,Medium,"Array, Math, Depth-First Search, Breadth-First Search, Graph, Geometry",FALSE
Sequentially Ordinal Rank Tracker,sequentially-ordinal-rank-tracker,Hard,"Design, Heap (Priority Queue), Data Stream, Ordered Set",FALSE
Rings and Rods,rings-and-rods,Easy,"Hash Table, String",FALSE
Sum of Subarray Ranges,sum-of-subarray-ranges,Medium,"Array, Stack, Monotonic Stack",FALSE
Watering Plants II,watering-plants-ii,Medium,"Array, Two Pointers, Simulation",FALSE
Maximum Fruits Harvested After at Most K Steps,maximum-fruits-harvested-after-at-most-k-steps,Hard,"Array, Binary Search, Sliding Window, Prefix Sum",FALSE
Number of Unique Flavors After Sharing K Candies,number-of-unique-flavors-after-sharing-k-candies,Medium,"Array, Hash Table, Sliding Window",TRUE
Find First Palindromic String in the Array,find-first-palindromic-string-in-the-array,Easy,"Array, Two Pointers, String",FALSE
Adding Spaces to a String,adding-spaces-to-a-string,Medium,"Array, Two Pointers, String, Simulation",FALSE
Number of Smooth Descent Periods of a Stock,number-of-smooth-descent-periods-of-a-stock,Medium,"Array, Math, Dynamic Programming",FALSE
Minimum Operations to Make the Array K-Increasing,minimum-operations-to-make-the-array-k-increasing,Hard,"Array, Binary Search",FALSE
Elements in Array After Removing and Replacing Elements,elements-in-array-after-removing-and-replacing-elements,Medium,Array,TRUE
Maximum Number of Words Found in Sentences,maximum-number-of-words-found-in-sentences,Easy,"Array, String",FALSE
Find All Possible Recipes from Given Supplies,find-all-possible-recipes-from-given-supplies,Medium,"Array, Hash Table, String, Graph, Topological Sort",FALSE
Check if a Parentheses String Can Be Valid,check-if-a-parentheses-string-can-be-valid,Medium,"String, Stack, Greedy",FALSE
Abbreviating the Product of a Range,abbreviating-the-product-of-a-range,Hard,Math,FALSE
A Number After a Double Reversal,a-number-after-a-double-reversal,Easy,Math,FALSE
Execution of All Suffix Instructions Staying in a Grid,execution-of-all-suffix-instructions-staying-in-a-grid,Medium,"String, Simulation",FALSE
Intervals Between Identical Elements,intervals-between-identical-elements,Medium,"Array, Hash Table, Prefix Sum",FALSE
Recover the Original Array,recover-the-original-array,Hard,"Array, Hash Table, Two Pointers, Sorting, Enumeration",FALSE
Minimum Operations to Remove Adjacent Ones in Matrix,minimum-operations-to-remove-adjacent-ones-in-matrix,Hard,"Array, Graph, Matrix",TRUE
Check if All A's Appears Before All B's,check-if-all-as-appears-before-all-bs,Easy,String,FALSE
Number of Laser Beams in a Bank,number-of-laser-beams-in-a-bank,Medium,"Array, Math, String, Matrix",FALSE
Destroying Asteroids,destroying-asteroids,Medium,"Array, Greedy, Sorting",FALSE
Maximum Employees to Be Invited to a Meeting,maximum-employees-to-be-invited-to-a-meeting,Hard,"Depth-First Search, Graph, Topological Sort",FALSE
Remove All Ones With Row and Column Flips,remove-all-ones-with-row-and-column-flips,Medium,"Array, Math, Bit Manipulation, Matrix",TRUE
Capitalize the Title,capitalize-the-title,Easy,String,FALSE
Maximum Twin Sum of a Linked List,maximum-twin-sum-of-a-linked-list,Medium,"Linked List, Two Pointers, Stack",FALSE
Longest Palindrome by Concatenating Two Letter Words,longest-palindrome-by-concatenating-two-letter-words,Medium,"Array, Hash Table, String, Greedy, Counting",FALSE
Stamping the Grid,stamping-the-grid,Hard,"Array, Greedy, Matrix, Prefix Sum",FALSE
Check if Every Row and Column Contains All Numbers,check-if-every-row-and-column-contains-all-numbers,Easy,"Array, Hash Table, Matrix",FALSE
Minimum Swaps to Group All 1's Together II,minimum-swaps-to-group-all-1s-together-ii,Medium,"Array, Sliding Window",FALSE
Count Words Obtained After Adding a Letter,count-words-obtained-after-adding-a-letter,Medium,"Array, Hash Table, String, Bit Manipulation, Sorting",FALSE
Earliest Possible Day of Full Bloom,earliest-possible-day-of-full-bloom,Hard,"Array, Greedy, Sorting",FALSE
Pour Water Between Buckets to Make Water Levels Equal,pour-water-between-buckets-to-make-water-levels-equal,Medium,"Array, Binary Search",TRUE
Divide a String Into Groups of Size k,divide-a-string-into-groups-of-size-k,Easy,"String, Simulation",FALSE
Minimum Moves to Reach Target Score,minimum-moves-to-reach-target-score,Medium,"Math, Greedy",FALSE
Solving Questions With Brainpower,solving-questions-with-brainpower,Medium,"Array, Dynamic Programming",FALSE
Maximum Running Time of N Computers,maximum-running-time-of-n-computers,Hard,"Array, Binary Search, Greedy, Sorting",FALSE
Choose Numbers From Two Arrays in Range,choose-numbers-from-two-arrays-in-range,Hard,"Array, Dynamic Programming",TRUE
Minimum Cost of Buying Candies With Discount,minimum-cost-of-buying-candies-with-discount,Easy,"Array, Greedy, Sorting",FALSE
Count the Hidden Sequences,count-the-hidden-sequences,Medium,"Array, Prefix Sum",FALSE
K Highest Ranked Items Within a Price Range,k-highest-ranked-items-within-a-price-range,Medium,"Array, Breadth-First Search, Sorting, Heap (Priority Queue), Matrix",FALSE
Number of Ways to Divide a Long Corridor,number-of-ways-to-divide-a-long-corridor,Hard,"Math, String, Dynamic Programming",FALSE
Count Elements With Strictly Smaller and Greater Elements ,count-elements-with-strictly-smaller-and-greater-elements,Easy,"Array, Sorting, Counting",FALSE
Rearrange Array Elements by Sign,rearrange-array-elements-by-sign,Medium,"Array, Two Pointers, Simulation",FALSE
Find All Lonely Numbers in the Array,find-all-lonely-numbers-in-the-array,Medium,"Array, Hash Table, Counting",FALSE
Maximum Good People Based on Statements,maximum-good-people-based-on-statements,Hard,"Array, Backtracking, Bit Manipulation, Enumeration",FALSE
Minimum Number of Lines to Cover Points,minimum-number-of-lines-to-cover-points,Medium,"Array, Hash Table, Math, Dynamic Programming, Backtracking, Bit Manipulation, Geometry, Bitmask",TRUE
